Statements,Labels
Tanzim Sakib mentioned that the strong crowd motivated them after South Africa won the toss and opted to bowl.,Non Record
Shohei Ohtani became the first major league player with at least 50 home runs and 50 stolen bases in a season.,Record
India was asked to bat first after Sri Lanka captain Dasun Shanaka won the toss.,Non Record
Willy Adames tied the MLB record for most 3-run HRs in a season (13) and the MIL record with HRs in 5 straight games,Record
Alex Hales is keen to impress after a three-year absence from international cricket.,Non Record
The 'Inning 1 OVER 0.5 runs' market has hit in each of the Guardians' last six home games.,Non Record
Willi Castro has recorded at least one RBI in each of the Twins' last four home games against AL opponents that held a losing record.,Record
"Pakistan's bowlers, including Wasim, Rauf, and Shadab, kept Zimbabwe to a low score.",Non Record
Rizwan became the joint-fastest to 2000 runs in T20Is,Record
USA batted first in the super over and scored 18 runs.,Non Record
"Rohit Sharma hit 200+ sixes, the most by anybody in T20Is.",Record
"The bowling attack for India is spearheaded by Jasprit Bumrah, supported by Kuldeep Yadav, Arshdeep Singh, and Ravindra Jadeja.",Non Record
"The Yankees clinched their 32nd consecutive winning season, the second-longest streak in Major League history behind the 1926-64 Yankees, who were winners in 39 straight seasons. Thirty-two straight winning seasons matches the second-longest streak in the four major pro sports, alongside the NHL’s Montreal Canadiens (1952-83).",Record
"Despite the Under being more likely to hit in this game, Over 8.5 is Stats Insider's best bet due to the better odds ($1.91) that are available from TAB.",Non Record
Shakib Al Hasan's first fifty in international cricket since October 2022.,Record
Bellamy's era as Wales boss begins with a draw as 10-player Turkey hold on.,Non Record
Quinton de Kock supported Rossouw with a score of 63 runs from 38 balls.,Non Record
"The Dutch edged the hosts 2-1 in the closely matched series as well as their overall head-to-head record. They have won six of their 11 T20Is, while Nepal have won five.",Non Record
Jordan Wicks (2-2) with a 3.92 ERA and a 1.36 WHIP.,Non Record
Jose Ramirez has recorded at least one total base in each of the Guardians' last seven games at Progressive Field against AL East opponents that held a losing record.,Record
Charlie Blackmon reached 800 career RBIs and tied with Carlos Gonzalez for fifth in club history with 227 career homers.,Record
Marsh expects England fans to outnumber the Australians for the match at Barbados.,Non Record
"Willy Adames tied the MLB record for most three-run home runs in a single season with his 13th three-run shot, matching Ken Griffey Jr.'s record from 1996.",Record
The Angels matched a franchise record with their 95th loss.,Record
The White Sox are nine defeats shy of tying the 1962 New York Mets for the most losses since 1900.,Record
Zach McKinstry noted the team's struggle to get the big hit despite getting runners on base.,Non Record
Virat Kohli has a better batting average (52.65) compared to Babar Azam (46.89).,Non Record
"Mitchell Santner has stressed this point in press conferences; that apart from the learnings New Zealand can take about conditions they will face during the ODI World Cup in October, there is still the chance to go down in history as a team that beat India in India.",Non Record
"Virat Kohli's 71st international hundred, equalling Ricky Ponting's tally of international hundreds",Record
West Indies won by 104 runs.,Non Record
"The match marked Bellamy's first game in charge of the national side, and he will now be looking for his first win, with Wales heading to Niksic to tackle Montenegro.",Non Record
The Atlanta Braves (73-61) are on their way to Citizens Bank Park on Sunday where they will attempt to beat the Philadelphia Phillies (79-55).,Non Record
"Australia and Pakistan have met seven times in Dubai, with Pakistan winning four times.",Non Record
"Rohit Sharma made one change to the side, bringing in Pant for Hardik Pandya.",Non Record
India won by 4 wickets (with 0 balls remaining),Non Record
Shortstop Zach Neto left the game with right shoulder irritation but is expected to return soon.,Non Record
"Tommy Edman hit a two-out, two-run home run in the eighth inning.",Non Record
"Shohei Ohtani mentioned Freddie Freeman's encouragement before the game, which motivated him to perform well.",Non Record
"Ryan Jeffers expressed frustration over the loss, emphasizing the importance of every game as the season comes to an end.",Non Record
Stats Insider's predictive analytics model gives the Rangers a 52% chance of winning against the White Sox at Guaranteed Rate Field.,Non Record
Allen was eventually clean bowled by Josh Hazlewood after scoring 42 runs in a 16-ball knock.,Non Record
Will Brennan has recorded a Double in three of his last four home appearances against AL East opponents that held a winning record.,Record
Litton Das brought up his fifty in 21 balls.,Non Record
"Sanju Samson racked up the second-fastest hundred by an Indian in T20Is, scoring 111 runs off 47 balls.",Record
Turkey will start as the slight favourites but the Welsh threat cannot be overlooked.,Non Record
Francisco Lindor is 13-for-43 with four doubles and four home runs over the last 10 games.,Non Record
"Brady Singer expressed satisfaction with his pitching performance, highlighting the effectiveness of his sinker and slider.",Non Record
India's margin of victory - 168 runs - was the highest in any T20I involving two Full-Member teams.,Record
The Arnos Vale Stadium has plenty of unknowns surrounding it as it has not hosted an international cricket match in 10 years.,Non Record
Zimbabwe stunned Pakistan after clinching a final over thriller.,Non Record
Jose Trevino has recorded at least one hit in each of his last nine road appearances against AL Central opponents that held a winning record.,Record
Bo Bichette has recorded at least one Single in 10 of his last 11 road appearances against the Twins.,Record
The pitchers who are expected to start are Valente Bellozo for the Marlins and Bradley Blalock for the Rockies.,Non Record
Zach Neto hit a three-run homer in the fifth inning.,Non Record
Australia's total of 3-215 is their third-best T20 chase.,Record
Sal Frelick hit a home run on the next pitch after Bauers' homer.,Non Record
Nick Castellanos' five walk-offs between the regular season and postseason are tied for the third-most in a single season since 1974.,Record
The Rangers became the first club in any of the four major professional sports in North America to win 11 road games in a single postseason.,Record
Game 5 is expected to feature a rematch between Matthew Boyd and Tarik Skubal.,Non Record
Morocco currently sits top of Group E with six points from two games.,Non Record
Hardik Pandya's unbeaten 71 off 30-balls.,Non Record
"Bangladesh fans dominated the crowd at the 34,000-seater Nassau County Cricket Ground.",Non Record
Critics of Charles's current performance points have merit. That said tonight's match is his rubber: He has to survive the 1st 6 overs and give Windies a start irrespective of his score. Windies need to be at min 45 for 1 max after 6. If Charles and or the top 3 does this then Charles stays for rest of tournament. If Windies are 35 for 3 or worse after 6 and Charles is out then he goes for rest of tournament,Non Record
Glenn Maxwell equalled the record for the most T20I hundreds with a dazzling 120 not out from 55 balls against West Indies.,Record
"The match was played at an empty Orlando Stadium in Soweto, Johannesburg, South Africa.",Non Record
"Aaron Jones shared his determination to win the game against England, confident that his men will give their best to ensure USA’s T20 World Cup campaign concludes on a positive note.",Non Record
Jonny Bairstow scored 8 not out off 2 balls.,Non Record
Jos Buttler was named Player of the Match.,Non Record
Matt Olson drove in the go-ahead run on a fielder's choice.,Non Record
Sanju Samson scored the second-fastest T20I century by an Indian.,Record
Cleveland's bullpen has a 37-11 record and a major league-best 2.76 ERA.,Non Record
The Dodgers held first baseman Freddie Freeman out of the starting lineup for a third straight game to ease discomfort in his fractured right middle finger.,Non Record
